"ano","tipo_taxi","dia_semana","hora","volume","tarifa_media","distancia_media"
"2022","green","friday","23","3957","16.6","33.79"
"2022","green","saturday","0","3106","16.13","32.04"
"2022","yellow","saturday","0","255388","14.3","4.06"
"2022","yellow","saturday","1","204059","13.21","4.43"
"2022","green","saturday","1","2291","16.62","75.75"
"2022","green","saturday","2","1606","19.09","23.98"
"2022","yellow","saturday","2","155956","12.84","3.62"
"2022","yellow","saturday","3","105296","13.3","6.71"
"2022","green","saturday","3","1176","20.75","53.17"
"2022","green","saturday","4","871","24.36","181.25"
"2022","yellow","saturday","4","55500","16.16","7.75"
"2022","green","saturday","5","662","24.54","526.2"
"2022","yellow","saturday","5","29320","22.27","20.35"
"2022","yellow","saturday","6","48996","21.02","34.7"
"2022","green","saturday","6","1135","20.69","352.32"
"2022","yellow","saturday","7","75774","17.56","16.5"
"2022","green","saturday","7","2054","17.0","226.46"
"2022","green","saturday","8","3095","15.64","114.75"
"2022","yellow","saturday","8","119300","15.12","8.31"
"2022","green","saturday","9","4397","14.95","168.09"
"2022","yellow","saturday","9","184579","15.63","5.03"
"2022","yellow","saturday","10","242944","13.02","4.78"
"2022","green","saturday","10","5509","14.51","115.23"
"2022","green","saturday","11","6361","14.66","177.74"
"2022","yellow","saturday","11","288022","13.17","5.19"
"2022","green","saturday","12","6755","14.75","48.64"
"2022","yellow","saturday","12","320001","13.71","6.38"
"2022","green","saturday","13","6557","15.43","124.28"
"2022","yellow","saturday","13","330274","14.35","7.45"
"2022","yellow","saturday","14","331494","14.84","4.63"
"2022","green","saturday","14","7023","15.24","86.73"
"2022","yellow","saturday","15","339223","15.03","5.92"
"2022","green","saturday","15","7405","14.86","23.89"
"2022","green","saturday","16","7344","14.65","118.29"
"2022","yellow","saturday","16","343236","15.03","5.17"
"2022","green","saturday","17","7219","14.75","57.59"
"2022","yellow","saturday","17","359161","15.22","5.45"
"2022","yellow","saturday","18","369178","14.14","5.76"
"2022","green","saturday","18","7340","14.68","92.02"
"2022","green","saturday","19","6390","15.03","113.7"
"2022","yellow","saturday","19","356267","13.93","5.96"
"2022","green","saturday","20","5221","15.41","86.83"
"2022","yellow","saturday","20","305190","13.93","5.07"
"2022","green","saturday","21","4735","15.31","25.12"
"2022","yellow","saturday","21","298377","13.97","6.25"
"2022","yellow","saturday","22","304716","14.25","5.85"
"2022","green","saturday","22","4396","16.62","79.34"
"2022","green","saturday","23","4155","16.36","197.36"
"2022","yellow","saturday","23","286764","14.52","5.36"
"2022","yellow","sunday","0","240164","14.01","5.08"
"2022","green","sunday","0","3139","16.57","47.89"
"2022","green","sunday","1","2329","17.0","3.86"
"2022","yellow","sunday","1","199895","13.01","5.92"
"2022","green","sunday","2","1587","19.35","124.07"
"2022","yellow","sunday","2","147213","12.8","4.35"
"2022","yellow","sunday","3","104044","13.4","8.47"
"2022","green","sunday","3","1201","21.98","4.31"
"2022","green","sunday","4","947","24.78","49.32"
"2022","yellow","sunday","4","57963","16.51","5.34"
"2022","green","sunday","5","631","25.46","379.51"
"2022","yellow","sunday","5","30379","23.43","13.46"
"2022","green","sunday","6","935","21.95","273.67"
"2022","yellow","sunday","6","43941","23.17","19.72"
"2022","green","sunday","7","1410","17.83","306.31"
"2022","yellow","sunday","7","65351","19.79","11.58"
"2022","yellow","sunday","8","99021","16.94","10.17"
"2022","green","sunday","8","2041","16.4","33.42"
"2022","yellow","sunday","9","153375","14.52","7.86"
"2022","green","sunday","9","3298","14.78","67.54"
"2022","green","sunday","10","4410","13.74","152.1"
"2022","yellow","sunday","10","215555","13.82","6.27"
"2022","yellow","sunday","11","256330","14.0","5.28"
"2022","green","sunday","11","5477","14.43","238.55"
"2022","green","sunday","12","6130","14.57","108.88"
"2022","yellow","sunday","12","286247","14.7","6.61"
"2022","green","sunday","13","5958","15.48","110.68"
"2022","yellow","sunday","13","290432","15.52","5.46"
"2022","yellow","sunday","14","299498","16.23","5.24"
"2022","green","sunday","14","6488","15.42","111.85"
"2022","yellow","sunday","15","294575","16.71","4.74"
"2022","green","sunday","15","6567","14.81","113.51"
"2022","yellow","sunday","16","295352","16.51","5.41"
"2022","green","sunday","16","6549","14.95","74.75"
"2022","green","sunday","17","6319","14.62","88.2"
"2022","yellow","sunday","17","298072","15.87","6.23"
"2022","yellow","sunday","18","294141","15.04","7.56"
"2022","green","sunday","18","6256","14.04","53.96"
